Date,GOOGL,AMZN,AAPL,MSFT,TSLA
11/29/2024,161.31924,208.11693,236.07578,401.68985,331.33798
12/2/2024,159.49338,209.70435,237.2457,398.33685,327.74512
12/3/2024,156.96094,211.26793,238.31424,393.86096,324.4363
12/4/2024,154.14543,212.77968,239.31999,389.09497,321.4276
12/5/2024,151.27643,214.23212,240.28363,384.46912,318.7082
12/6/2024,148.46472,215.6282,241.21512,380.1323,316.2517
12/9/2024,145.75706,216.9738,242.11903,376.11725,314.02554
12/10/2024,143.16788,218.27478,242.99762,372.40652,311.98468
12/11/2024,140.69641,219.5362,243.85155,368.96564,310.0866
12/12/2024,138.33582,220.76202,244.68114,365.75647,308.29385
12/13/2024,136.07733,221.95517,245.48657,362.74472,306.57486
12/16/2024,133.91206,223.11758,246.26819,359.9024,304.90454
12/17/2024,131.83199,224.2508,247.02615,357.20493,303.2659
12/18/2024,129.82983,225.35571,247.76083,354.63422,301.64777
12/19/2024,127.89937,226.43289,248.47264,352.176,300.0459
12/20/2024,126.03528,227.48279,249.16206,349.81924,298.4615
12/23/2024,124.2328,228.50565,249.8296,347.55573,296.8937
12/24/2024,122.487785,229.50154,250.47565,345.37915,295.34723
12/25/2024,120.79672,230.47063,251.10068,343.28412,293.82593
12/26/2024,119.15644,231.41307,251.7053,341.26562,292.32925
12/27/2024,117.56412,232.32916,252.28996,339.32016,290.8626
12/30/2024,116.017204,233.21915,252.85512,337.44406,289.42682
12/31/2024,114.51349,234.08308,253.4013,335.6348,288.0264
1/1/2025,113.050995,234.9214,253.92902,333.88882,286.6629
1/2/2025,111.62786,235.73445,254.43869,332.20343,285.3359
1/3/2025,110.24235,236.52258,254.93094,330.57617,284.04422
1/6/2025,108.8928,237.28615,255.40599,329.00458,282.78748
1/7/2025,107.577705,238.0255,255.86462,327.48608,281.56573
1/8/2025,106.295815,238.7411,256.30704,326.01862,280.3751
1/9/2025,105.04579,239.43356,256.73395,324.59998,279.21542
